antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,support_pct,confidence_pct,lift_strength
Staple remover,Avery Non-Stick Binders,0.1111111111111111,0.3333333333333333,0.1111111111111111,1.0,3.0,1.0,0.07407407407407407,inf,0.75,0.3333333333333333,1.0,0.6666666666666666,1,1,11.11111111111111,100.0,Strong
Avery Non-Stick Binders,Staple remover,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,3.0,1.0,0.07407407407407407,1.333333333333333,0.9999999999999998,0.3333333333333333,0.25,0.6666666666666666,1,1,11.11111111111111,33.33333333333333,Strong
Avery Non-Stick Binders,Staples in misc. colors,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,3.0,1.0,0.07407407407407407,1.333333333333333,0.9999999999999998,0.3333333333333333,0.25,0.6666666666666666,1,1,11.11111111111111,33.33333333333333,Strong
Staples in misc. colors,Avery Non-Stick Binders,0.1111111111111111,0.3333333333333333,0.1111111111111111,1.0,3.0,1.0,0.07407407407407407,inf,0.75,0.3333333333333333,1.0,0.6666666666666666,1,1,11.11111111111111,100.0,Strong
Avery Non-Stick Binders,Storex Dura Pro Binders,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.5,1.0,0.037037037037037035,1.1666666666666665,0.4999999999999999,0.24999999999999997,0.14285714285714285,0.41666666666666663,1,1,11.11111111111111,33.33333333333333,Weak
Storex Dura Pro Binders,Avery Non-Stick Binders,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.5,1.5,1.0,0.037037037037037035,1.3333333333333335,0.42857142857142855,0.24999999999999997,0.25,0.41666666666666663,1,1,11.11111111111111,50.0,Weak
Easy-staple paper,Staple envelope,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.5,1.5,1.0,0.037037037037037035,1.3333333333333335,0.42857142857142855,0.24999999999999997,0.25,0.41666666666666663,1,1,11.11111111111111,50.0,Weak
Staple envelope,Easy-staple paper,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.5,1.0,0.037037037037037035,1.1666666666666665,0.4999999999999999,0.24999999999999997,0.14285714285714285,0.41666666666666663,1,1,11.11111111111111,33.33333333333333,Weak
Easy-staple paper,Storex Dura Pro Binders,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.5,2.25,1.0,0.06172839506172839,1.5555555555555556,0.7142857142857143,0.3333333333333333,0.35714285714285715,0.5,1,1,11.11111111111111,50.0,Moderate
Storex Dura Pro Binders,Easy-staple paper,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.5,2.25,1.0,0.06172839506172839,1.5555555555555556,0.7142857142857143,0.3333333333333333,0.35714285714285715,0.5,1,1,11.11111111111111,50.0,Moderate
Staple envelope,KI Adjustable-Height Table,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.19999999999999998,0.0,0.3333333333333333,1,1,11.11111111111111,33.33333333333333,Weak
KI Adjustable-Height Table,Staple envelope,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.19999999999999998,0.0,0.3333333333333333,1,1,11.11111111111111,33.33333333333333,Weak
Staples,KI Adjustable-Height Table,0.2222222222222222,0.3333333333333333,0.2222222222222222,1.0,3.0,1.0,0.14814814814814814,inf,0.8571428571428571,0.6666666666666665,1.0,0.8333333333333333,1,1,22.22222222222222,100.0,Strong
KI Adjustable-Height Table,Staples,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.6666666666666666,3.0,1.0,0.14814814814814814,2.333333333333333,0.9999999999999998,0.6666666666666665,0.5714285714285714,0.8333333333333333,1,1,22.22222222222222,66.66666666666666,Strong
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Staple envelope,0.1111111111111111,0.3333333333333333,0.1111111111111111,1.0,3.0,1.0,0.07407407407407407,inf,0.75,0.3333333333333333,1.0,0.6666666666666666,1,1,11.11111111111111,100.0,Strong
Staple envelope,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,3.0,1.0,0.07407407407407407,1.333333333333333,0.9999999999999998,0.3333333333333333,0.25,0.6666666666666666,1,1,11.11111111111111,33.33333333333333,Strong
